Constituents,Symbol,Macro-Economic Sector
360 ONE WAM LIMITED,542772,Financial Services
3M INDIA LTD.,523395,Diversified
63 Moons Technologies Limited,526881,Information Technology
Aadhar Housing Finance Limited,544176,Financial Services
AARTI DRUGS LTD.,524348,Healthcare
AARTI INDUSTRIES LTD.,524208,Commodities
Aarti Pharmalabs Limited,543748,Healthcare
AAVAS Financiers Limited,541988,Financial Services
ABB INDIA LIMITED,500002,Industrials
ABBOTT INDIA LTD.,500488,Healthcare
ACC LTD.,500410,Commodities
ACCELYA SOLUTIONS INDIA LIMITE,532268,Information Technology
ACME Solar Holdings Limited,544283,Utilities
ACTION CONSTRUCTION EQUIPMENT,532762,Industrials
ACUTAAS CHEMICALS LIMITED,543349,Healthcare
Adani Energy Solutions Limited,539254,Utilities
ADANI ENTERPRISES LTD.,512599,Commodities
Adani Green Energy Limited,541450,Utilities
ADANI PORTS AND SPECIAL ECONOM,532921,Services
ADANI POWER LTD.,533096,Utilities
ADANI TOTAL GAS LIMITED,542066,Energy
ADF FOODS LTD.,519183,Fast Moving Consumer Goods
Aditya Birla Capital Ltd,540691,Financial Services
Aditya Birla Fashion and Retai,535755,Consumer Discretionary
Aditya Birla Lifestyle Brands,544403,Consumer Discretionary
ADITYA BIRLA REAL ESTATE LIMIT,500040,Consumer Discretionary
Aditya Birla Sun Life AMC Limi,543374,Financial Services
Aditya Infotech Limited,544466,Industrials
Aditya Vision Limited,540205,Consumer Discretionary
Advanced Enzyme Technologies L,540025,Healthcare
AEGIS LOGISTICS LTD.,500003,Energy
AEGIS VOPAK TERMINALS LIMITED,544407,Energy
Aequs Limited,544634,Industrials
Aether Industries Limited,543534,Commodities
Afcons Infrastructure Limited,544280,Industrials
AFFLE 3I LIMITED,542752,Information Technology
AGI GREENPAC LIMITED,500187,Industrials
AHLUWALIA CONTRACTS (INDIA) LT,532811,Industrials
AIA ENGINEERING LTD.,532683,Industrials
AJANTA PHARMA LTD.,532331,Healthcare
AJAX Engineering Limited,544356,Industrials
Akums Drugs and Pharmaceutical,544222,Healthcare
ALEMBIC LTD.,506235,Consumer Discretionary
ALEMBIC PHARMACEUTICALS LTD.,533573,Healthcare
ALIVUS LIFE SCIENCES LIMITED,543322,Healthcare
Alkem Laboratories Limited,539523,Healthcare
ALKYL AMINES CHEMICALS LTD.,506767,Commodities
Allied Blenders and Distillers,544203,Fast Moving Consumer Goods
ALOK INDUSTRIES LTD.,521070,Consumer Discretionary
Amara Raja Energy & Mobility L,500008,Consumer Discretionary
Amber Enterprises India Limite,540902,Consumer Discretionary
AMBUJA CEMENTS LTD.,500425,Commodities
Anand Rathi Wealth Limited,543415,Financial Services
ANANT RAJ LIMITED,515055,Consumer Discretionary
ANGEL ONE LIMITED,543235,Financial Services
Anthem Biosciences Limited,544449,Healthcare
APAR INDUSTRIES LTD.,532259,Industrials
APCOTEX INDUSTRIES LTD.,523694,Industrials
Apeejay Surrendra Park Hotels,544111,Consumer Discretionary
APL APOLLO TUBES LTD.,533758,Industrials
APOLLO HOSPITALS ENTERPRISE LT,508869,Healthcare
Apollo Micro Systems Limited,540879,Industrials
APOLLO TYRES LTD.,500877,Consumer Discretionary
Aptus Value Housing Finance In,543335,Financial Services
Archean Chemical Industries Li,543657,Commodities
Artemis Medicare Services Limi,542919,Healthcare
Arvind Fashions Limited,542484,Consumer Discretionary
ARVIND LTD.,500101,Consumer Discretionary
ASAHI INDIA GLASS LTD.,515030,Consumer Discretionary
ASHIANA HOUSING LTD.,523716,Consumer Discretionary
ASHOK LEYLAND LTD.,500477,Industrials
ASHOKA BUILDCON LTD.,533271,Industrials
ASIAN PAINTS LTD.,500820,Consumer Discretionary
ASK Automotive Limited,544022,Consumer Discretionary
ASM TECHNOLOGIES LTD.,526433,Information Technology
ASTER DM QUALITY CARE LIMITED,540975,Healthcare
ASTRA MICROWAVE PRODUCTS LTD.,532493,Industrials
ASTRAL LIMITED,532830,Industrials
ASTRAZENECA PHARMA INDIA LTD.,506820,Healthcare
Ather Energy Limited,544397,Consumer Discretionary
Atlanta Electricals Limited,544527,Industrials
ATUL LTD.,500027,Commodities
AU Small Finance Bank Limited,540611,Financial Services
AURIONPRO SOLUTIONS LTD.,532668,Information Technology
AUROBINDO PHARMA LTD.,524804,Healthcare
Authum Investment & Infrastruc,539177,Financial Services
